$Version=1
$FileExt=.rx2
$RootPath=Data\Patches\Packs\Loops\
$FilePath=Data\Patches\Packs\Loops\
$Alternative=SliceX|Fruity Slicer
$Caption=Loops
$Format=112


;CDName|SubDirName|ItemName|Count|FileSize|ProductCode|Flags|WebLink|MainItemName
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MisterHouse_1|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MisterTrain|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MultiProgress_1|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_NakStyle_1|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_PhewJunk_1|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_ProgFilter_1|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_ProgFilter_2|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_ProgFilter_3|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_RetroGressive_10|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_RetroGressive_8|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_RetroGressive_9|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_StepperHouse_1|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_StraightGermans|47|27662|82201|1||130bpm(2)
